Project ID,Graded ID,3 Block Inputs,Pen thickness,Repeat # of Sides,Move Size,Turn sides / 360
049b0f61-5071-4f65-8d17-e1ef7928bfe1,97098,2,2,2,2,2
09656fa3-09d5-42f0-bf45-d8d71cb0a998,83440,1,2,2,2,2
1a0f476c-f935-431d-bbe4-63a9c2539ade,76005,2,2,2,2,2
21afd32c-cfb0-416e-aec0-50fa3ad699af,75257,2,2,2,2,2
220941d3-b051-49cc-b08a-9eb2edc077ce,68300,2,2,2,2,2
2431e2f9-9334-493e-aeba-ddba0d1d07e4,85996,2,2,2,2,2
292454d5-7072-4c5f-8a57-6f61f510a853,82814,1,2,2,2,2
3037c60f-571b-40e4-9688-76b34422dfbf,97011,2,2,2,2,2
324a0db1-a237-4fb1-96ea-8a83cf5a5400,85290,2,2,2,2,2
38301c26-eecc-437b-b5cc-96cf4c5e1f59,65146,2,2,2,2,2
425532b0-be97-40b0-91fd-4a5dfaef477f,60887,2,2,2,2,2
46936f7c-4297-4e3d-bfbb-b55952dea682,74014,2,2,2,2,2
47507c34-7494-4c65-a084-7baa0717a898,76446,2,1,2,2,2
4b1db6f1-fa5e-4b27-bcc8-60e8bade2201,84568,2,2,2,2,2
4c32eb1e-e6d7-4bde-a084-8793035455cb,65227,2,2,2,2,2
4fe5d700-7cf2-4b05-8378-1a2e77ae6522,86003,,,,,
50482911-96e6-4809-b0fd-a973578574f9,97099,2,2,2,2,2
566e183e-7b3a-4ece-9499-fdcd6b38671b,101739,2,2,2,2,2
60d4d867-9ff0-4d91-b074-ffe6b2616a08,85793,2,2,2,2,2
72131218-74ed-4fed-b5b3-82874d331fd8,60084,2,2,2,2,2
759d533c-2b50-415a-b9ac-438e880960a6,74990,2,2,2,2,2
775acfce-9369-4598-ab39-8f740ae098ea,62448,2,2,2,2,2
7818720a-aa60-45e4-a434-3e72e87f4359,65583,2,2,2,2,2
7ee24aac-6f67-40a4-9160-8136528dbe30,65554,2,2,2,2,2
80f50c9e-4835-46f8-8f68-c9a0fc280ecc,69307,2,2,2,2,2
825f307c-7ffc-4390-bc68-891e973027c2,82955,1,2,2,2,2
8512f6a9-7c63-40d8-95ab-66cdf9c91922,65605,2,2,2,2,2
95039fd2-cfb3-48d6-928e-27a7d202ee59,64556,2,2,2,2,2
9630f120-6071-4cde-81ab-9a11ef376dcc,85095,2,2,2,2,2
9f63a8aa-dd9e-4919-af66-93d1d5814ddc,64292,2,2,2,2,2
a572f1b5-5ec4-4b80-a2a8-02e38799a6a9,63425,2,2,2,2,2
a8e80350-a00a-40c2-b013-b659bb1c6a9c,94887,,,,,
aa16aa63-33e9-4d2e-990c-7e56488c059b,85181,2,2,2,2,2
b2a3311c-67ca-4ea4-9799-b540dce890d3,85997,2,1,2,2,2
b94996be-c5ec-4ff6-a27d-f1042bdf5d23,96513,2,2,2,2,2
be7891e5-d644-4f6e-aeba-b4d805385e06,84356,2,2,2,2,2
c3e62b40-68b3-408f-8ad7-19921f753782,75770,2,2,2,2,2
c73f042a-c1a9-4d4f-bbf8-9becb776a42b,97363,2,2,2,2,2
cb28c665-f730-4672-95db-c97e7103b199,96466,2,2,2,2,2
cd0ecaa5-d014-49a1-bcb0-acb021ef845b,85603,2,2,2,2,2
cd343643-7099-4b24-b009-5a6edf60123a,72261,2,2,2,2,2
da76c9ff-8890-4e88-9773-b5f24dedcf10,63663,2,2,2,2,2
db553721-b49d-4be7-acce-4db2fbc63723,96971,2,2,2,2,2
df79033f-4bda-4505-8e61-6a3c0748e9c8,76100,2,2,2,2,2
e221da2d-262b-4cda-9dd8-060c6d33d67d,85157,2,2,2,2,2
e52b1cbe-26ea-4a84-a87d-dc647b773755,96511,2,2,2,2,2
f3a8b447-c7ad-4fe5-be27-12e2a5becdba,65555,2,2,2,2,2
f892149b-5d9f-48e2-95b9-9d7fa2948a19,64416,0,1,1,1,1
fa061b6a-8be7-487e-a675-b872de46a0ff,97844,2,2,2,2,2
